performanceMetrics.js:126 ,lang,browser,wasm_exec_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb
performanceMetrics.js:132 ,Go,"Chromium",449.60,6,1.47,1.47,10,4.20,2.20,7.40,13.89
performanceMetrics.js:132 ,Go,"Chromium",449.60,181,181.33,59.78,10,5.55,4.20,6.60,14.65
performanceMetrics.js:132 ,Go,"Chromium",449.60,179,178.93,59.98,610,5.60,0.90,16.60,19.20
performanceMetrics.js:132 ,Go,"Chromium",449.60,180,179.66,59.89,1210,5.57,2.70,8.50,18.93
performanceMetrics.js:132 ,Go,"Chromium",449.60,180,179.95,59.98,1810,5.56,4.00,7.30,20.38
performanceMetrics.js:132 ,Go,"Chromium",449.60,179,179.23,60.74,2410,5.60,4.80,6.70,19.77
performanceMetrics.js:132 ,Go,"Chromium",449.60,167,167.01,59.65,3010,6.00,5.30,7.50,24.81
performanceMetrics.js:132 ,Go,"Chromium",449.60,138,137.52,59.79,3610,7.30,6.60,9.60,24.64
performanceMetrics.js:132 ,Go,"Chromium",449.60,119,118.57,59.78,4220,8.46,7.80,9.20,24.40
performanceMetrics.js:132 ,Go,"Chromium",449.60,103,102.51,60.71,4820,9.79,9.10,12.00,24.82
performanceMetrics.js:132 ,Go,"Chromium",449.60,91,90.80,59.87,5420,11.05,10.30,12.90,28.56
performanceMetrics.js:132 ,Go,"Chromium",449.60,82,81.77,59.83,6030,12.28,11.60,13.00,34.90
performanceMetrics.js:132 ,Go,"Chromium",449.60,74,73.98,60.17,6630,13.56,12.90,14.30,35.20
performanceMetrics.js:132 ,Go,"Chromium",449.60,67,67.13,60.22,7230,14.93,14.20,16.70,34.77
performanceMetrics.js:132 ,Go,"Chromium",449.60,63,62.37,59.40,7830,16.06,15.30,16.80,35.02
performanceMetrics.js:132 ,Go,"Chromium",449.60,58,57.50,59.48,8430,17.41,16.80,19.70,35.26
performanceMetrics.js:132 ,Go,"Chromium",449.60,56,55.76,59.74,8430,17.93,17.70,18.30,34.77
performanceMetrics.js:132 ,Go,"Chromium",449.60,56,55.79,60.77,8430,17.93,17.80,18.30,35.00
performanceMetrics.js:132 ,Go,"Chromium",449.60,56,55.78,59.76,8430,17.93,17.80,18.10,35.22
performanceMetrics.js:132 ,Go,"Chromium",449.60,56,55.69,59.67,8430,17.96,17.70,18.30,34.70
performanceMetrics.js:132 ,Go,"Chromium",449.60,56,55.63,60.60,8430,17.97,17.80,18.30,34.92
performanceMetrics.js:132 ,Go,"Chromium",449.60,56,55.73,59.71,8430,17.94,17.70,18.10,35.20
performanceMetrics.js:132 ,Go,"Chromium",449.60,56,55.64,59.61,8430,17.97,17.90,18.10,35.42
performanceMetrics.js:132 ,Go,"Chromium",449.60,56,55.58,60.55,8430,17.99,17.80,18.40,34.92
performanceMetrics.js:132 ,Go,"Chromium",449.60,56,55.73,59.71,8430,17.94,17.80,18.20,35.13
performanceMetrics.js:132 ,Go,"Chromium",449.60,56,55.41,60.35,8430,18.05,17.80,19.50,35.35
performanceMetrics.js:132 ,Go,"Chromium",449.60,56,55.38,59.34,8430,18.06,17.80,20.10,34.90
performanceMetrics.js:132 ,Go,"Chromium",449.60,55,54.05,59.94,8430,18.50,17.80,22.40,35.11
performanceMetrics.js:132 ,Go,"Chromium",449.60,56,55.83,60.81,8430,17.91,17.70,18.30,35.44
performanceMetrics.js:132 ,Go,"Chromium",449.60,38,55.83,60.81,8430,26.33,17.80,66.50,35.47
performanceMetrics.js:132 ,Go,"Chromium",449.60,26,37.70,59.94,8430,39.67,36.90,53.90,36.00
performanceMetrics.js:132 ,Go,"Chromium",449.60,27,25.60,60.06,8430,37.29,36.90,38.80,33.66
performanceMetrics.js:132 ,Go,"Chromium",449.60,28,26.82,59.61,8430,37.03,36.60,37.50,33.78
performanceMetrics.js:132 ,Go,"Chromium",449.60,27,27.00,59.79,8430,37.21,36.80,39.20,33.90
performanceMetrics.js:132 ,Go,"Chromium",449.60,27,26.87,60.71,8430,38.05,37.10,46.50,34.02
performanceMetrics.js:132 ,Go,"Chromium",449.60,27,26.28,59.37,8430,37.20,36.80,37.90,34.14
performanceMetrics.js:132 ,Go,"Chromium",449.60,27,26.88,59.74,8430,37.07,36.70,38.00,33.70
performanceMetrics.js:132 ,Go,"Chromium",449.60,27,26.97,60.94,8430,37.43,36.70,41.20,33.47
performanceMetrics.js:132 ,Go,"Chromium",449.60,27,26.72,59.38,8430,37.46,37.00,40.20,33.45
