,lang,browser,wasm_exec_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb
,Go,"Firefox",170.00,170,164.51,59.82,10,5.92,2.00,21.00,
,Go,"Firefox",170.00,180,179.82,59.94,610,5.57,3.00,8.00,
,Go,"Firefox",170.00,180,179.82,59.94,1210,5.58,3.00,9.00,
,Go,"Firefox",170.00,173,172.14,59.70,1810,5.80,3.00,42.00,
,Go,"Firefox",170.00,173,172.83,59.94,2410,5.80,4.00,10.00,
,Go,"Firefox",170.00,147,147.96,60.58,3010,6.84,5.00,11.00,
,Go,"Firefox",170.00,129,129.10,59.58,3620,7.78,6.00,17.00,
,Go,"Firefox",170.00,115,114.89,59.94,4220,8.75,7.00,10.00,
,Go,"Firefox",170.00,99,99.30,59.58,4820,10.11,8.00,15.00,
,Go,"Firefox",170.00,88,87.82,60.88,5420,11.42,10.00,13.00,
,Go,"Firefox",170.00,79,79.29,59.46,6020,12.67,11.00,16.00,
,Go,"Firefox",170.00,72,71.86,59.88,6620,13.94,12.00,16.00,
,Go,"Firefox",170.00,66,65.93,59.94,7220,15.21,14.00,17.00,
,Go,"Firefox",170.00,61,60.58,59.58,7820,16.54,15.00,18.00,
,Go,"Firefox",170.00,56,56.05,59.98,8420,17.86,16.00,19.00,
,Go,"Firefox",170.00,55,54.08,59.98,8420,18.51,17.00,22.00,
,Go,"Firefox",170.00,55,54.08,59.98,8420,18.49,17.00,20.00,
,Go,"Firefox",170.00,55,54.08,59.98,8420,18.51,17.00,19.00,
,Go,"Firefox",170.00,55,54.29,60.22,8420,18.38,17.00,20.00,
,Go,"Firefox",170.00,54,53.62,60.58,8420,18.69,17.00,31.00,
,Go,"Firefox",170.00,50,49.90,59.88,8420,20.04,17.00,39.00,
,Go,"Firefox",170.00,41,40.72,54.62,8420,24.54,17.00,95.00,
,Go,"Firefox",170.00,54,53.84,59.82,8420,18.57,18.00,19.00,
