[Log] ,lang,browser,wasm_exec_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb
[Log] ,Go,"GnomeWeb",214.00,64,59.70,57.71,10,16.08,15.00,19.00,
[Log] ,Go,"GnomeWeb",214.00,63,62.25,60.28,610,16.05,7.00,26.00,
[Log] ,Go,"GnomeWeb",214.00,63,62.19,59.23,1220,16.10,13.00,19.00,
[Log] ,Go,"GnomeWeb",214.00,63,62.19,60.22,1830,16.10,14.00,19.00,
[Log] ,Go,"GnomeWeb",214.00,63,62.25,60.28,2440,16.08,13.00,20.00,
[Log] ,Go,"GnomeWeb",214.00,62,62.00,60.00,3040,16.15,8.00,25.00,
[Log] ,Go,"GnomeWeb",214.00,63,62.13,60.16,3640,16.11,13.00,19.00,
[Log] ,Go,"GnomeWeb",214.00,62,62.07,60.10,4240,16.13,16.00,17.00,
[Log] ,Go,"GnomeWeb",214.00,63,62.25,59.29,4850,16.10,15.00,17.00,
[Log] ,Go,"GnomeWeb",214.00,63,62.19,60.22,5460,16.08,12.00,21.00,
[Log] ,Go,"GnomeWeb",214.00,63,62.25,60.28,6070,16.10,15.00,18.00,
[Log] ,Go,"GnomeWeb",214.00,63,62.25,60.28,6670,16.08,13.00,18.00,
[Log] ,Go,"GnomeWeb",214.00,63,62.19,59.23,7280,16.11,15.00,17.00,
[Log] ,Go,"GnomeWeb",214.00,62,61.94,59.94,7880,16.18,15.00,17.00,
[Log] ,Go,"GnomeWeb",214.00,59,59.00,60.00,8480,17.03,16.00,18.00,
[Log] ,Go,"GnomeWeb",214.00,57,56.72,59.70,8480,17.65,17.00,18.00,
[Log] ,Go,"GnomeWeb",214.00,57,56.66,60.64,8480,17.65,17.00,18.00,
[Log] ,Go,"GnomeWeb",214.00,57,56.60,59.58,8480,17.67,17.00,19.00,
[Log] ,Go,"GnomeWeb",214.00,57,56.94,59.94,8480,17.56,17.00,18.00,
[Log] ,Go,"GnomeWeb",214.00,57,56.83,59.82,8480,17.58,17.00,18.00,
[Log] ,Go,"GnomeWeb",214.00,57,56.55,60.52,8480,17.68,17.00,19.00,
[Log] ,Go,"GnomeWeb",214.00,52,52.32,59.23,8480,19.25,17.00,31.00,
[Log] ,Go,"GnomeWeb",214.00,55,54.29,60.22,8480,18.40,17.00,20.00,
[Log] ,Go,"GnomeWeb",214.00,54,53.84,59.82,8480,18.56,18.00,20.00,
[Log] ,Go,"GnomeWeb",214.00,51,51.13,59.98,8480,19.61,18.00,50.00,
[Log] ,Go,"GnomeWeb",214.00,54,53.36,60.28,8480,18.72,18.00,24.00,
[Log] ,Go,"GnomeWeb",214.00,55,54.51,60.46,8480,18.35,18.00,21.00,
[Log] ,Go,"GnomeWeb",214.00,55,54.89,59.88,8480,18.20,18.00,19.00,
[Log] ,Go,"GnomeWeb",214.00,55,54.78,59.76,8480,18.25,18.00,20.00,
[Log] ,Go,"GnomeWeb",214.00,55,54.62,59.58,8480,18.31,18.00,21.00,
[Log] ,Go,"GnomeWeb",214.00,55,54.51,60.46,8480,18.35,18.00,22.00,
[Log] ,Go,"GnomeWeb",214.00,55,54.95,59.94,8480,18.20,18.00,19.00,
[Log] ,Go,"GnomeWeb",214.00,56,55.12,60.04,8480,18.14,18.00,19.00,
[Log] ,Go,"GnomeWeb",214.00,55,54.95,59.94,8480,18.18,17.00,21.00,
[Log] ,Go,"GnomeWeb",214.00,55,55.06,59.98,8480,18.18,17.00,20.00,
[Log] ,Go,"GnomeWeb",214.00,55,54.51,60.46,8480,18.35,17.00,22.00,
[Log] ,Go,"GnomeWeb",214.00,55,54.78,59.76,8480,18.25,17.00,20.00,
[Log] ,Go,"GnomeWeb",214.00,55,54.67,59.64,8480,18.29,17.00,21.00,
[Log] ,Go,"GnomeWeb",214.00,54,53.73,60.70,8480,18.63,17.00,30.00,
