 ,lang,browser,wasm_start_offset_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb
 ,JS,"Chromium",,181,181.00,60.00,10,5.55,5.20,6.10,22.82
 ,JS,"Chromium",,180,181.00,60.00,10,5.56,4.30,6.80,22.46
 ,JS,"Chromium",,180,181.00,60.00,610,5.56,5.20,6.10,25.09
 ,JS,"Chromium",,180,180.00,60.00,1210,5.56,4.60,6.40,24.48
 ,JS,"Chromium",,180,180.00,61.00,1820,5.56,5.30,5.80,26.59
 ,JS,"Chromium",,180,180.00,60.00,2420,5.56,5.20,6.10,24.42
 ,JS,"Chromium",,178,180.00,60.00,3020,5.62,0.80,12.10,24.56
 ,JS,"Chromium",,178,179.00,60.00,3620,5.64,4.70,10.20,28.69
 ,JS,"Chromium",,180,177.00,60.00,4220,5.56,5.30,6.10,27.06
 ,JS,"Chromium",,181,180.00,60.00,4820,5.56,5.10,6.10,27.52
 ,JS,"Chromium",,181,180.00,60.00,6020,5.55,5.20,5.90,26.28
 ,JS,"Chromium",,180,180.00,60.00,6620,5.56,5.30,5.80,29.08
 ,JS,"Chromium",,180,180.00,60.00,7220,5.56,4.90,6.20,29.15
 ,JS,"Chromium",,181,180.00,60.00,7820,5.56,5.30,5.90,31.76
 ,JS,"Chromium",,181,181.00,61.00,8430,5.55,5.30,6.00,39.43
 ,JS,"Chromium",,180,181.00,60.00,9030,5.56,5.30,5.80,37.66
 ,JS,"Chromium",,180,180.00,60.00,9630,5.56,5.20,5.90,28.22
 ,JS,"Chromium",,180,180.00,60.00,9630,5.56,5.20,5.90,30.46
 ,JS,"Chromium",,180,181.00,60.00,10230,5.56,4.50,6.50,38.01
 ,JS,"Chromium",,181,180.00,60.00,10830,5.55,4.70,5.80,39.50
 ,JS,"Chromium",,179,181.00,61.00,11440,5.59,5.30,10.40,40.39
 ,JS,"Chromium",,180,179.00,60.00,12040,5.56,5.30,6.00,38.14
 ,JS,"Chromium",,180,180.00,60.00,12640,5.56,5.40,5.80,37.02
 ,JS,"Chromium",,181,180.00,60.00,13840,5.56,4.40,6.60,43.50
 ,JS,"Chromium",,181,181.00,60.00,14440,5.55,3.30,7.70,56.00
 ,JS,"Chromium",,180,180.00,60.00,15040,5.56,4.50,6.60,35.56
 ,JS,"Chromium",,181,181.00,61.00,15650,5.55,4.70,6.50,53.72
 ,JS,"Chromium",,180,181.00,61.00,15650,5.56,4.50,6.60,45.58
 ,JS,"Chromium",,180,181.00,60.00,16250,5.56,4.50,6.60,46.21
 ,JS,"Chromium",,181,181.00,60.00,16850,5.55,4.50,6.60,48.65
 ,JS,"Chromium",,180,180.00,60.00,17450,5.56,5.20,6.10,60.32
 ,JS,"Chromium",,180,180.00,60.00,18050,5.56,5.20,5.90,47.07
 ,JS,"Chromium",,181,180.00,60.00,18650,5.55,4.80,6.40,38.52
 ,JS,"Chromium",,180,181.00,60.00,19250,5.56,5.10,6.20,38.97
 ,JS,"Chromium",,179,180.00,60.00,19850,5.59,5.00,11.10,37.92
 ,JS,"Chromium",,180,179.00,61.00,20460,5.58,4.70,10.00,43.12
 ,JS,"Chromium",,180,180.00,60.00,21060,5.56,3.90,8.90,59.31
 ,JS,"Chromium",,181,180.00,60.00,21660,5.55,4.30,6.50,50.81
 ,JS,"Chromium",,180,181.00,60.00,22260,5.56,4.30,6.80,40.70
 ,JS,"Chromium",,180,180.00,60.00,22860,5.56,4.40,6.90,46.59
 ,JS,"Chromium",,181,181.00,61.00,23470,5.55,4.50,7.10,58.63
 ,JS,"Chromium",,177,180.00,60.00,24070,5.65,4.60,14.20,42.01
 ,JS,"Chromium",,180,177.00,60.00,24670,5.56,4.70,7.20,51.93
