,lang,browser,wasm_exec_ms,wasm_start_offset_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb,click_latency_ms performanceMetrics.js:126:15
,JS,"Firefox",,,181,180.00,60.00,10,5.57,4.00,7.00,, performanceMetrics.js:132:13
,JS,"Firefox",,,179,178.00,60.00,610,5.60,3.00,12.00,,988.00 performanceMetrics.js:132:13
,JS,"Firefox",,,176,175.00,60.00,1210,5.70,3.00,23.00,,984.00 performanceMetrics.js:132:13
,JS,"Firefox",,,178,179.00,60.00,1810,5.62,3.00,13.00,,986.00 performanceMetrics.js:132:13
,JS,"Firefox",,,180,180.00,61.00,2420,5.58,4.00,8.00,,990.00 performanceMetrics.js:132:13
,JS,"Firefox",,,180,180.00,60.00,3020,5.56,4.00,7.00,,985.00 performanceMetrics.js:132:13
,JS,"Firefox",,,174,172.00,60.00,3620,5.76,3.00,38.00,,978.00 performanceMetrics.js:132:13
,JS,"Firefox",,,180,181.00,60.00,4220,5.56,4.00,7.00,,981.00 performanceMetrics.js:132:13
,JS,"Firefox",,,180,181.00,60.00,4820,5.56,4.00,7.00,,987.00 performanceMetrics.js:132:13
,JS,"Firefox",,,180,181.00,60.00,5420,5.56,4.00,7.00,,993.00 performanceMetrics.js:132:13
,JS,"Firefox",,,180,180.00,61.00,6030,5.57,3.00,9.00,,995.00 performanceMetrics.js:132:13
,JS,"Firefox",,,181,181.00,60.00,6630,5.55,4.00,8.00,,997.00 performanceMetrics.js:132:13
,JS,"Firefox",,,180,180.00,60.00,7230,5.57,4.00,7.00,,995.00 performanceMetrics.js:132:13
,JS,"Firefox",,,180,180.00,60.00,7830,5.56,4.00,8.00,,994.00 performanceMetrics.js:132:13
,JS,"Firefox",,,180,179.00,61.00,8440,5.57,4.00,10.00,,997.00 performanceMetrics.js:132:13
,JS,"Firefox",,,179,179.00,60.00,9040,5.59,4.00,10.00,,991.00 performanceMetrics.js:132:13
,JS,"Firefox",,,174,174.00,60.00,9640,5.78,4.00,9.00,,993.00 performanceMetrics.js:132:13
,JS,"Firefox",,,157,158.00,60.00,10240,6.38,5.00,9.00,,995.00 performanceMetrics.js:132:13
,JS,"Firefox",,,149,150.00,60.00,10840,6.74,5.00,11.00,,1001.00 performanceMetrics.js:132:13
,JS,"Firefox",,,132,131.00,61.00,11450,7.61,5.00,10.00,,995.00 performanceMetrics.js:132:13
,JS,"Firefox",,,125,125.00,60.00,12050,8.04,6.00,10.00,,996.00 performanceMetrics.js:132:13
,JS,"Firefox",,,127,127.00,60.00,12650,7.91,6.00,10.00,,997.00 performanceMetrics.js:132:13
,JS,"Firefox",,,126,126.00,61.00,13260,7.99,6.00,10.00,,999.00 performanceMetrics.js:132:13
,JS,"Firefox",,,121,122.00,60.00,13860,8.26,6.00,10.00,,1000.00 performanceMetrics.js:132:13
,JS,"Firefox",,,116,122.00,60.00,13860,8.65,7.00,10.00,,1000.00 performanceMetrics.js:132:13
,JS,"Firefox",,,111,117.00,60.00,14460,9.08,7.00,11.00,,8.00 performanceMetrics.js:132:13
