,lang,browser,wasm_exec_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb
,Go,"Firefox",1155.00,61,54.89,57.88,10,16.88,13.00,25.00,
,Go,"Firefox",1155.00,60,60.04,60.04,610,16.68,11.00,22.00,
,Go,"Firefox",1155.00,60,60.00,60.00,1210,16.77,10.00,21.00,
,Go,"Firefox",1155.00,60,60.00,60.00,1810,16.67,13.00,20.00,
,Go,"Firefox",1155.00,59,58.99,59.96,2410,16.98,15.00,35.00,
,Go,"Firefox",1155.00,60,60.10,60.10,2410,16.67,15.00,18.00,
,Go,"Firefox",1155.00,60,59.88,59.88,3010,16.77,14.00,20.00,
,Go,"Firefox",1155.00,55,54.89,59.88,3620,18.42,16.00,21.00,
,Go,"Firefox",1155.00,52,51.03,59.86,3620,19.60,19.00,21.00,
,Go,"Firefox",1155.00,51,51.00,60.00,3620,19.63,18.00,21.00,
,Go,"Firefox",1155.00,49,48.18,59.98,3620,20.76,19.00,43.00,
,Go,"Firefox",1155.00,46,45.16,55.30,3620,22.35,19.00,88.00,
,Go,"Firefox",1155.00,31,30.85,59.70,3620,32.42,20.00,59.00,
,Go,"Firefox",1155.00,39,38.42,60.10,3620,26.05,19.00,57.00,
,Go,"Firefox",1155.00,49,48.51,59.41,3620,20.55,19.00,23.00,
