[Log] ,lang,browser,wasm_exec_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb
[Log] ,Go,"GnomeWeb",598.00,58,43.00,45.00,10,17.65,9.00,76.00,
[Log] ,Go,"GnomeWeb",598.00,60,58.94,59.94,10,16.75,14.00,19.00,
[Log] ,Go,"GnomeWeb",598.00,58,57.94,60.94,620,17.31,6.00,60.00,
[Log] ,Go,"GnomeWeb",598.00,61,60.00,60.00,620,16.66,11.00,21.00,
[Log] ,Go,"GnomeWeb",598.00,60,60.00,60.00,1220,16.68,8.00,23.00,
[Log] ,Go,"GnomeWeb",598.00,60,60.00,60.00,1820,16.73,12.00,20.00,
[Log] ,Go,"GnomeWeb",598.00,61,60.00,60.00,2430,16.66,14.00,18.00,
[Log] ,Go,"GnomeWeb",598.00,59,58.53,59.52,3030,17.12,14.00,25.00,
[Log] ,Go,"GnomeWeb",598.00,60,59.82,59.82,3030,16.73,16.00,20.00,
[Log] ,Go,"GnomeWeb",598.00,54,56.94,59.94,3630,18.54,17.00,24.00,
[Log] ,Go,"GnomeWeb",598.00,52,51.13,59.98,3630,19.54,19.00,21.00,
[Log] ,Go,"GnomeWeb",598.00,52,51.18,60.04,3630,19.54,18.00,21.00,
[Log] ,Go,"GnomeWeb",598.00,51,51.18,60.04,3630,19.63,19.00,22.00,
[Log] ,Go,"GnomeWeb",598.00,51,50.75,59.70,3630,19.67,19.00,21.00,
[Log] ,Go,"GnomeWeb",598.00,49,51.13,59.98,3630,20.51,19.00,34.00,
[Log] ,Go,"GnomeWeb",598.00,29,34.65,59.67,3630,34.69,21.00,66.00,
[Log] ,Go,"GnomeWeb",598.00,39,33.43,56.05,3630,25.64,19.00,44.00,
[Log] ,Go,"GnomeWeb",598.00,47,46.00,60.00,3630,21.40,19.00,27.00,
[Log] ,Go,"GnomeWeb",598.00,46,45.14,60.84,3630,22.00,20.00,28.00,
[Log] ,Go,"GnomeWeb",598.00,12,12.36,18.27,3630,136.33,22.00,1284.00,
[Log] ,Go,"GnomeWeb",598.00,49,47.76,59.70,3630,20.78,19.00,33.00,
[Log] ,Go,"GnomeWeb",598.00,49,48.37,60.22,3630,20.69,19.00,29.00,
[Log] ,Go,"GnomeWeb",598.00,49,48.90,59.88,3630,20.76,19.00,34.00,
[Log] ,Go,"GnomeWeb",598.00,20,1.79,2.90,3630,584.10,20.00,11165.00,
[Log] ,Go,"GnomeWeb",598.00,38,37.36,59.98,3630,26.76,20.00,45.00,
[Log] ,Go,"GnomeWeb",598.00,45,44.25,59.98,3630,22.62,20.00,34.00,
[Log] ,Go,"GnomeWeb",598.00,48,47.11,59.86,3630,21.23,19.00,33.00,
[Log] ,Go,"GnomeWeb",598.00,48,47.11,59.86,3630,21.19,20.00,25.00,
[Log] ,Go,"GnomeWeb",598.00,47,46.63,59.52,3630,21.45,19.00,33.00,
