[Log] ,lang,browser,wasm_exec_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb
[Log] ,Rust,"GnomeWeb",651.00,6,7.19,64.00,10,131.00,28.00,416.00,
[Log] ,Rust,"GnomeWeb",651.00,59,59.74,64.00,10,17.14,10.00,55.00,
[Log] ,Rust,"GnomeWeb",651.00,60,60.19,64.00,10,16.75,13.00,20.00,
[Log] ,Rust,"GnomeWeb",651.00,60,61.13,64.00,69,16.67,11.00,22.00,
[Log] ,Rust,"GnomeWeb",651.00,61,58.66,64.00,130,16.62,14.00,19.00,
[Log] ,Rust,"GnomeWeb",651.00,60,60.11,64.00,190,16.72,11.00,21.00,
[Log] ,Rust,"GnomeWeb",651.00,61,60.35,64.00,251,16.64,13.00,20.00,
[Log] ,Rust,"GnomeWeb",651.00,60,60.90,64.00,311,16.67,13.00,21.00,
[Log] ,Rust,"GnomeWeb",651.00,61,60.47,64.00,372,16.74,14.00,22.00,
[Log] ,Rust,"GnomeWeb",651.00,61,60.26,64.00,433,16.59,10.00,21.00,
[Log] ,Rust,"GnomeWeb",651.00,60,59.42,64.00,493,16.70,12.00,21.00,
[Log] ,Rust,"GnomeWeb",651.00,61,60.34,64.00,554,16.67,13.00,21.00,
[Log] ,Rust,"GnomeWeb",651.00,61,60.01,64.00,615,16.59,12.00,20.00,
[Log] ,Rust,"GnomeWeb",651.00,60,60.57,64.00,675,16.72,13.00,21.00,
[Log] ,Rust,"GnomeWeb",651.00,60,59.33,64.00,735,16.68,13.00,20.00,
[Log] ,Rust,"GnomeWeb",651.00,60,58.17,64.00,795,16.67,13.00,21.00,
[Log] ,Rust,"GnomeWeb",651.00,60,60.19,64.00,855,16.68,13.00,20.00,
[Log] ,Rust,"GnomeWeb",651.00,61,60.25,64.00,916,16.57,12.00,22.00,
[Log] ,Rust,"GnomeWeb",651.00,61,61.44,64.00,977,16.66,12.00,22.00,
[Log] ,Rust,"GnomeWeb",651.00,60,58.86,64.00,1037,16.73,13.00,21.00,
[Log] ,Rust,"GnomeWeb",651.00,60,60.94,64.00,1097,16.70,10.00,22.00,
[Log] ,Rust,"GnomeWeb",651.00,61,61.77,64.00,1158,16.57,12.00,23.00,
[Log] ,Rust,"GnomeWeb",651.00,60,61.48,64.00,1218,16.67,11.00,22.00,
[Log] ,Rust,"GnomeWeb",651.00,60,58.34,64.00,1278,16.68,13.00,22.00,
[Log] ,Rust,"GnomeWeb",651.00,60,61.17,64.00,1338,16.67,11.00,22.00,
[Log] ,Rust,"GnomeWeb",651.00,60,60.37,64.00,1398,16.70,10.00,22.00,
[Log] ,Rust,"GnomeWeb",651.00,60,62.47,64.00,1458,16.70,12.00,21.00,
[Log] ,Rust,"GnomeWeb",651.00,60,60.03,64.00,1518,16.88,13.00,43.00,
[Log] ,Rust,"GnomeWeb",651.00,61,61.16,64.00,1579,16.64,13.00,22.00,
[Log] ,Rust,"GnomeWeb",651.00,60,60.61,64.00,1639,16.68,12.00,19.00,
[Log] ,Rust,"GnomeWeb",651.00,61,60.25,64.00,1700,16.66,15.00,18.00,
[Log] ,Rust,"GnomeWeb",651.00,60,60.13,64.00,1760,16.68,15.00,18.00,
[Log] ,Rust,"GnomeWeb",651.00,61,60.80,64.00,1821,16.66,15.00,18.00,
[Log] ,Rust,"GnomeWeb",651.00,60,59.81,64.00,1881,16.70,15.00,18.00,
[Log] ,Rust,"GnomeWeb",651.00,60,60.11,64.00,1941,16.67,15.00,18.00,
[Log] ,Rust,"GnomeWeb",651.00,60,59.95,64.00,2001,16.67,16.00,18.00,
[Log] ,Rust,"GnomeWeb",651.00,60,60.30,64.00,2061,16.68,14.00,19.00,
