[Log] ,lang,browser,wasm_exec_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb
[Log] ,Rust,"GnomeWeb",651.00,6,7.19,64.00,10,131.00,28.00,416.00,
[Log] ,Rust,"GnomeWeb",651.00,59,59.74,64.00,10,17.14,10.00,55.00,
[Log] ,Rust,"GnomeWeb",651.00,60,60.19,64.00,10,16.75,13.00,20.00,
[Log] ,Rust,"GnomeWeb",651.00,60,61.13,64.00,69,16.67,11.00,22.00,
[Log] ,Rust,"GnomeWeb",651.00,61,62.46,64.00,130,16.64,12.00,22.00,
[Log] ,Rust,"GnomeWeb",651.00,60,63.79,64.00,190,16.70,11.00,21.00,
[Log] ,Rust,"GnomeWeb",651.00,61,59.35,64.00,251,16.70,13.00,20.00,
[Log] ,Rust,"GnomeWeb",651.00,61,61.02,64.00,312,16.57,13.00,20.00,
[Log] ,Rust,"GnomeWeb",651.00,60,60.88,64.00,372,16.68,12.00,22.00,
[Log] ,Rust,"GnomeWeb",651.00,60,59.20,64.00,431,16.67,10.00,21.00,
[Log] ,Rust,"GnomeWeb",651.00,60,59.29,64.00,492,16.72,14.00,20.00,
[Log] ,Rust,"GnomeWeb",651.00,61,62.99,64.00,553,16.64,13.00,20.00,
[Log] ,Rust,"GnomeWeb",651.00,60,59.93,64.00,613,16.68,13.00,20.00,
[Log] ,Rust,"GnomeWeb",651.00,61,61.60,64.00,674,16.62,14.00,20.00,
[Log] ,Rust,"GnomeWeb",651.00,60,61.86,64.00,734,16.67,11.00,19.00,
[Log] ,Rust,"GnomeWeb",651.00,60,60.93,64.00,794,16.70,13.00,19.00,
[Log] ,Rust,"GnomeWeb",651.00,60,60.26,64.00,854,16.70,13.00,19.00,
[Log] ,Rust,"GnomeWeb",651.00,58,59.68,64.00,912,17.26,7.00,64.00,
[Log] ,Rust,"GnomeWeb",651.00,61,64.16,64.00,913,16.62,12.00,21.00,
[Log] ,Rust,"GnomeWeb",651.00,60,59.82,64.00,972,16.68,11.00,21.00,
[Log] ,Rust,"GnomeWeb",651.00,60,60.48,64.00,1032,16.70,10.00,22.00,
[Log] ,Rust,"GnomeWeb",651.00,61,61.06,64.00,1093,16.61,11.00,21.00,
[Log] ,Rust,"GnomeWeb",651.00,61,61.62,64.00,1154,16.62,14.00,20.00,
