,lang,browser,wasm_exec_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb
,Rust,"Firefox",1507.00,34,60.80,64.00,10,26.36,10.00,279.00,
,Rust,"Firefox",1507.00,60,60.02,64.00,10,16.72,15.00,19.00,
,Rust,"Firefox",1507.00,61,61.82,64.00,70,16.64,12.00,22.00,
,Rust,"Firefox",1507.00,60,60.80,64.00,130,16.73,6.00,29.00,
,Rust,"Firefox",1507.00,61,61.29,64.00,191,16.62,13.00,20.00,
,Rust,"Firefox",1507.00,60,59.98,64.00,251,16.72,14.00,21.00,
,Rust,"Firefox",1507.00,61,60.24,64.00,312,16.64,11.00,22.00,
,Rust,"Firefox",1507.00,60,60.59,64.00,372,16.68,13.00,21.00,
,Rust,"Firefox",1507.00,60,62.62,64.00,432,16.68,13.00,20.00,
,Rust,"Firefox",1507.00,61,68.94,64.00,493,16.56,11.00,25.00,
,Rust,"Firefox",1507.00,60,60.46,64.00,553,16.77,12.00,22.00,
,Rust,"Firefox",1507.00,61,60.43,64.00,614,16.64,11.00,23.00,
,Rust,"Firefox",1507.00,60,62.05,64.00,674,16.70,10.00,23.00,
,Rust,"Firefox",1507.00,61,60.61,64.00,735,16.67,12.00,23.00,
,Rust,"Firefox",1507.00,61,61.07,64.00,796,16.64,12.00,23.00,
,Rust,"Firefox",1507.00,61,63.84,64.00,857,16.67,9.00,24.00,
,Rust,"Firefox",1507.00,61,67.48,64.00,918,16.67,9.00,23.00,
,Rust,"Firefox",1507.00,61,60.51,64.00,979,16.64,12.00,22.00,
,Rust,"Firefox",1507.00,61,60.41,64.00,1040,16.59,11.00,22.00,
,Rust,"Firefox",1507.00,60,62.63,64.00,1100,16.67,12.00,21.00,
,Rust,"Firefox",1507.00,60,61.30,64.00,1160,16.75,11.00,21.00,
,Rust,"Firefox",1507.00,61,59.28,64.00,1221,16.64,13.00,21.00,
,Rust,"Firefox",1507.00,61,60.39,64.00,1282,16.61,12.00,21.00,
,Rust,"Firefox",1507.00,60,61.58,64.00,1342,16.67,13.00,20.00,
,Rust,"Firefox",1507.00,60,60.87,64.00,1402,16.67,13.00,20.00,
,Rust,"Firefox",1507.00,61,62.67,64.00,1463,16.66,13.00,21.00,
,Rust,"Firefox",1507.00,60,60.84,64.00,1523,16.70,13.00,20.00,
,Rust,"Firefox",1507.00,60,60.78,64.00,1583,16.68,11.00,21.00,
,Rust,"Firefox",1507.00,61,61.71,64.00,1644,16.61,12.00,21.00,
,Rust,"Firefox",1507.00,61,60.43,64.00,1705,16.64,13.00,21.00,
,Rust,"Firefox",1507.00,60,60.92,64.00,1765,16.68,14.00,20.00,
,Rust,"Firefox",1507.00,61,61.34,64.00,1826,16.66,13.00,19.00,
,Rust,"Firefox",1507.00,60,59.99,64.00,1886,16.68,13.00,19.00,
,Rust,"Firefox",1507.00,60,59.61,64.00,1946,16.67,15.00,19.00,
,Rust,"Firefox",1507.00,61,59.98,64.00,2007,16.64,14.00,19.00,
,Rust,"Firefox",1507.00,61,61.05,64.00,2068,16.67,14.00,18.00,
,Rust,"Firefox",1507.00,61,59.87,64.00,2129,16.64,15.00,18.00,
,Rust,"Firefox",1507.00,60,60.51,64.00,2189,16.68,14.00,19.00,
,Rust,"Firefox",1507.00,60,61.09,64.00,2249,16.67,15.00,18.00,
,Rust,"Firefox",1507.00,60,60.20,64.00,2309,16.67,15.00,18.00,
,Rust,"Firefox",1507.00,61,59.67,64.00,2370,16.66,15.00,18.00,
,Rust,"Firefox",1507.00,60,58.42,64.00,2430,16.67,8.00,24.00,
,Rust,"Firefox",1507.00,61,60.56,64.00,2491,16.66,15.00,19.00,
,Rust,"Firefox",1507.00,60,60.50,64.00,2551,16.67,15.00,18.00,
,Rust,"Firefox",1507.00,61,59.89,64.00,2612,16.66,15.00,18.00,
,Rust,"Firefox",1507.00,60,59.47,64.00,2672,16.67,15.00,18.00,
,Rust,"Firefox",1507.00,61,60.29,64.00,2733,16.66,13.00,18.00,
,Rust,"Firefox",1507.00,60,61.32,64.00,2793,16.68,13.00,19.00,
,Rust,"Firefox",1507.00,61,61.06,64.00,2854,16.66,14.00,19.00,
,Rust,"Firefox",1507.00,61,60.68,64.00,2915,16.66,14.00,19.00,
,Rust,"Firefox",1507.00,61,59.55,64.00,2976,16.66,14.00,19.00,
