 ,lang,browser,wasm_exec_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb
 ,Rust,"Chromium",667.30,65,198.05,64.00,10,10.40,1.80,259.20,19.51
 ,Rust,"Chromium",667.30,180,184.23,64.00,188,5.56,3.60,7.70,20.28
 ,Rust,"Chromium",667.30,180,180.78,64.00,368,5.56,4.60,6.40,20.72
 ,Rust,"Chromium",667.30,176,160.18,64.00,544,5.70,0.90,25.30,19.75
 ,Rust,"Chromium",667.30,167,183.33,64.00,710,6.01,2.20,59.30,20.01
 ,Rust,"Chromium",667.30,180,180.22,64.00,890,5.56,4.50,6.70,19.54
 ,Rust,"Chromium",667.30,181,180.15,64.00,1073,5.55,4.80,6.10,19.77
 ,Rust,"Chromium",667.30,180,180.44,64.00,1253,5.56,5.00,6.10,19.98
 ,Rust,"Chromium",667.30,180,180.38,64.00,1432,5.57,1.00,12.70,20.19
 ,Rust,"Chromium",667.30,180,180.51,64.00,1612,5.57,5.10,7.40,19.65
 ,Rust,"Chromium",667.30,180,180.16,64.00,1792,5.56,4.80,6.10,19.85
 ,Rust,"Chromium",667.30,180,180.30,64.00,1971,5.56,4.90,6.30,20.06
 ,Rust,"Chromium",667.30,180,180.15,64.00,2151,5.56,4.50,6.40,20.47
 ,Rust,"Chromium",667.30,180,181.26,64.00,2331,5.56,3.20,9.50,20.06
 ,Rust,"Chromium",667.30,180,180.32,64.00,2511,5.56,1.30,10.30,20.83
 ,Rust,"Chromium",667.30,180,180.32,64.00,2691,5.56,5.20,6.30,21.54
 ,Rust,"Chromium",667.30,180,180.08,64.00,2871,5.56,5.00,6.70,20.98
 ,Rust,"Chromium",667.30,180,184.61,64.00,3053,5.57,4.10,7.10,21.17
 ,Rust,"Chromium",667.30,181,180.10,64.00,3233,5.55,4.70,6.50,21.37
 ,Rust,"Chromium",667.30,180,180.17,64.00,3413,5.56,5.20,6.00,21.58
 ,Rust,"Chromium",667.30,180,180.96,64.00,3592,5.59,4.60,10.10,23.53
 ,Rust,"Chromium",667.30,181,180.61,64.00,3775,5.55,4.20,6.90,22.94
 ,Rust,"Chromium",667.30,180,180.28,64.00,3955,5.56,5.10,6.00,23.47
 ,Rust,"Chromium",667.30,180,180.69,64.00,4135,5.56,4.30,6.80,25.49
 ,Rust,"Chromium",667.30,181,181.23,64.00,4315,5.55,4.70,6.60,24.90
 ,Rust,"Chromium",667.30,180,180.41,64.00,4495,5.56,4.00,7.00,25.10
 ,Rust,"Chromium",667.30,180,179.72,64.00,4675,5.56,5.10,6.30,25.31
 ,Rust,"Chromium",667.30,180,180.29,64.00,4855,5.56,4.00,6.50,25.52
 ,Rust,"Chromium",667.30,181,180.65,64.00,5035,5.55,4.80,6.10,25.74
 ,Rust,"Chromium",667.30,180,180.02,64.00,5217,5.56,5.10,6.80,26.38
 ,Rust,"Chromium",667.30,181,180.65,64.00,5398,5.55,4.40,6.80,26.62
 ,Rust,"Chromium",667.30,180,180.52,64.00,5577,5.56,5.00,7.30,27.26
 ,Rust,"Chromium",667.30,180,180.44,64.00,5757,5.56,4.70,6.60,27.47
 ,Rust,"Chromium",667.30,180,180.11,64.00,5937,5.56,5.00,6.10,27.67
 ,Rust,"Chromium",667.30,180,180.58,64.00,6117,5.56,4.80,6.20,27.08
 ,Rust,"Chromium",667.30,180,180.98,64.00,6297,5.56,4.60,6.70,27.79
 ,Rust,"Chromium",667.30,181,180.34,64.00,6477,5.55,5.00,6.00,29.18
 ,Rust,"Chromium",667.30,180,180.39,64.00,6657,5.56,5.00,6.10,29.39
 ,Rust,"Chromium",667.30,180,180.17,64.00,6837,5.56,4.80,6.90,28.79
 ,Rust,"Chromium",667.30,180,181.06,64.00,7019,5.58,4.10,9.90,28.99
 ,Rust,"Chromium",667.30,180,181.51,64.00,7199,5.56,3.90,6.80,32.01
 ,Rust,"Chromium",667.30,180,180.75,64.00,7379,5.56,4.40,6.70,32.22
 ,Rust,"Chromium",667.30,180,179.94,64.00,7559,5.56,5.00,6.10,31.63
 ,Rust,"Chromium",667.30,180,180.99,64.00,7739,5.56,4.80,6.60,31.84
 ,Rust,"Chromium",667.30,181,180.52,64.00,7919,5.55,4.70,6.30,32.04
 ,Rust,"Chromium",667.30,180,179.53,64.00,8099,5.56,4.80,6.00,32.25
 ,Rust,"Chromium",667.30,181,180.79,64.00,8279,5.55,3.20,7.10,32.97
 ,Rust,"Chromium",667.30,180,180.62,64.00,8459,5.56,4.40,6.40,33.18
 ,Rust,"Chromium",667.30,181,180.88,64.00,8642,5.56,4.80,6.30,33.38
 ,Rust,"Chromium",667.30,180,180.13,64.00,8821,5.56,4.80,6.20,34.28
 ,Rust,"Chromium",667.30,180,181.80,64.00,9001,5.58,4.20,10.40,33.68
 ,Rust,"Chromium",667.30,180,181.27,64.00,9180,5.58,3.30,14.50,33.89
 ,Rust,"Chromium",667.30,180,179.85,64.00,9362,5.56,4.00,6.70,34.09
 ,Rust,"Chromium",667.30,180,179.99,64.00,9542,5.56,5.00,6.10,34.30
 ,Rust,"Chromium",667.30,180,180.24,64.00,9722,5.56,3.90,7.00,33.71
 ,Rust,"Chromium",667.30,181,179.92,64.00,9902,5.55,4.90,6.10,33.91
 ,Rust,"Chromium",667.30,180,180.23,64.00,10082,5.56,3.70,7.70,35.59
 ,Rust,"Chromium",667.30,180,178.11,64.00,10262,5.56,4.30,7.30,35.80
 ,Rust,"Chromium",667.30,181,179.68,64.00,10442,5.56,4.20,6.90,36.01
 ,Rust,"Chromium",667.30,181,180.32,64.00,10625,5.56,4.60,6.20,36.22
 ,Rust,"Chromium",667.30,180,180.83,64.00,10805,5.56,4.50,7.40,35.66
 ,Rust,"Chromium",667.30,180,180.87,64.00,10985,5.56,4.20,6.90,35.88
 ,Rust,"Chromium",667.30,180,180.43,64.00,11165,5.56,4.40,6.90,38.72
 ,Rust,"Chromium",667.30,181,182.44,64.00,11345,5.56,4.20,6.90,39.81
 ,Rust,"Chromium",667.30,181,183.74,64.00,11525,5.55,3.50,7.50,40.10
 ,Rust,"Chromium",667.30,181,181.24,64.00,11708,5.56,3.70,7.50,40.31
 ,Rust,"Chromium",667.30,180,180.57,64.00,11888,5.56,5.00,6.10,40.53
 ,Rust,"Chromium",667.30,180,180.84,64.00,12068,5.56,4.40,6.90,39.94
 ,Rust,"Chromium",667.30,181,181.22,64.00,12248,5.55,4.70,6.60,40.16
 ,Rust,"Chromium",667.30,180,181.28,64.00,12428,5.56,3.90,7.40,40.37
