,lang,browser,wasm_exec_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb performanceMetrics.js:100:15
,Rust,"Firefox",667.00,126,189.93,64.00,10,7.41,2.00,127.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,174,180.95,64.00,182,5.77,3.00,41.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,182,182.19,64.00,365,5.52,1.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,184.10,64.00,545,5.56,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,178,194.44,64.00,722,5.63,2.00,20.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,179,182.67,64.00,901,5.59,4.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,181.64,64.00,1081,5.56,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,181.15,64.00,1261,5.57,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,178,180.80,64.00,1439,5.62,4.00,13.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,182.86,64.00,1619,5.56,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,179,181.66,64.00,1798,5.59,4.00,9.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,182.66,64.00,1978,5.56,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,184.85,64.00,2158,5.56,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,181,184.37,64.00,2338,5.55,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,181.51,64.00,2520,5.57,4.00,10.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,182.01,64.00,2700,5.56,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,182.17,64.00,2880,5.56,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,182.96,64.00,3060,5.56,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,181.51,64.00,3239,5.56,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,183.24,64.00,3419,5.56,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,182.79,64.00,3599,5.56,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,183.42,64.00,3779,5.56,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,184.52,64.00,3959,5.56,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,180.22,64.00,4139,5.56,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,187.75,64.00,4318,5.59,4.00,10.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,181,184.32,64.00,4501,5.55,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,182.36,64.00,4681,5.56,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,180.88,64.00,4861,5.56,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,182.26,64.00,5040,5.58,4.00,10.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,182.02,64.00,5220,5.56,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,183.14,64.00,5400,5.56,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,183.02,64.00,5580,5.56,5.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,180.63,64.00,5759,5.58,4.00,9.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,181.42,64.00,5939,5.56,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,181.44,64.00,6119,5.56,4.00,8.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,310.27,64.00,6301,5.58,2.00,11.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,291.68,64.00,6481,5.56,2.00,10.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,247.80,64.00,6661,5.56,2.00,9.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,181,181.60,64.00,6841,5.55,2.00,8.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,185.10,64.00,7021,5.56,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,179,182.54,64.00,7200,5.59,3.00,8.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,182.03,64.00,7380,5.56,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,181,182.42,64.00,7560,5.56,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,181,181.23,64.00,7743,5.55,3.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,183.04,64.00,7923,5.56,4.00,8.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,181.99,64.00,8103,5.56,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,185.50,64.00,8283,5.56,3.00,8.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,182.03,64.00,8463,5.56,4.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,187.93,64.00,8643,5.56,3.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,189.32,64.00,8823,5.56,3.00,8.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,179,183.71,64.00,9002,5.59,3.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,195.24,64.00,9181,5.56,3.00,8.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,179,196.19,64.00,9361,5.59,3.00,9.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,182.38,64.00,9540,5.57,3.00,7.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,177,191.76,64.00,9717,5.65,3.00,20.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,181,190.31,64.00,9897,5.55,3.00,8.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,194.53,64.00,10077,5.56,3.00,8.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,190.12,64.00,10257,5.56,3.00,8.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,179,187.57,64.00,10438,5.61,3.00,9.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,178,179.56,64.00,10615,5.65,3.00,14.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,178,197.76,64.00,10792,5.65,3.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,189.92,64.00,10972,5.56,3.00,8.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,191.84,64.00,11152,5.56,3.00,8.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,191.54,64.00,11334,5.56,3.00,9.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,179,191.40,64.00,11513,5.61,3.00,15.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,179,189.43,64.00,11692,5.59,3.00,9.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,181,193.36,64.00,11872,5.55,3.00,9.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,191.06,64.00,12052,5.56,4.00,8.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,188.42,64.00,12232,5.56,4.00,9.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,186.13,64.00,12412,5.56,4.00,8.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,184.99,64.00,12591,5.58,4.00,9.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,181,188.19,64.00,12774,5.56,4.00,8.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,179,184.92,64.00,12953,5.59,4.00,10.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,179,184.95,64.00,13132,5.59,4.00,10.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,182.58,64.00,13311,5.58,4.00,10.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,185.50,64.00,13491,5.56,4.00,8.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,179,183.11,64.00,13670,5.59,4.00,9.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,177,180.81,64.00,13846,5.65,4.00,9.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,177,172.14,64.00,14024,5.66,4.00,10.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,180,182.45,64.00,14202,5.58,4.00,9.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,175,170.70,64.00,14380,5.71,4.00,9.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,174,175.52,64.00,14554,5.75,4.00,10.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,172,179.74,64.00,14725,5.84,4.00,10.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,178,181.20,64.00,14903,5.62,4.00,10.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,177,173.48,64.00,15080,5.66,4.00,9.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,169,169.21,64.00,15249,5.92,4.00,10.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,167,166.91,64.00,15416,5.99,5.00,10.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,161,162.15,64.00,15577,6.24,5.00,10.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,159,167.45,64.00,15736,6.30,5.00,10.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,158,161.87,64.00,15893,6.35,5.00,10.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,154,156.43,64.00,16049,6.50,5.00,11.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,147,155.68,64.00,16196,6.80,5.00,11.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,151,160.46,64.00,16347,6.62,5.00,11.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,147,148.23,64.00,16492,6.81,5.00,10.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,142,148.03,64.00,16635,7.08,5.00,10.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,134,151.35,64.00,16769,7.52,5.00,14.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,139,146.11,64.00,16909,7.24,5.00,11.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,133,141.97,64.00,17041,7.56,5.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,135,142.63,64.00,17176,7.41,5.00,11.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,132,133.12,64.00,17308,7.58,5.00,11.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,129,139.45,64.00,17438,7.80,5.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,131,141.54,64.00,17569,7.64,5.00,11.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,129,134.69,64.00,17697,7.80,6.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,129,137.19,64.00,17827,7.82,5.00,11.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,129,136.80,64.00,17955,7.78,6.00,11.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,124,138.97,64.00,18079,8.13,5.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,126,132.39,64.00,18205,7.98,6.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,122,125.07,64.00,18327,8.23,6.00,13.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,122,132.61,64.00,18449,8.20,6.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,121,128.59,64.00,18570,8.26,6.00,13.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,124,130.58,64.00,18695,8.11,6.00,11.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,124,130.02,64.00,18818,8.07,6.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,124,128.23,64.00,18943,8.09,6.00,13.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,126,133.92,64.00,19068,7.95,6.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,128,134.30,64.00,19196,7.82,6.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,126,129.91,64.00,19322,7.97,6.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,130,135.29,64.00,19453,7.72,6.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,129,132.48,64.00,19582,7.80,6.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,126,128.89,64.00,19707,7.98,6.00,13.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,121,125.81,64.00,19828,8.27,6.00,13.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,124,123.73,64.00,19953,8.10,6.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,125,130.78,64.00,20077,8.05,6.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,121,128.28,64.00,20198,8.27,6.00,13.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,123,129.52,64.00,20321,8.17,6.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,124,127.40,64.00,20446,8.10,6.00,14.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,122,125.28,64.00,20568,8.22,6.00,13.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,123,127.95,64.00,20691,8.13,6.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,124,124.13,64.00,20814,8.10,6.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,117,116.26,64.00,20931,8.55,6.00,13.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,120,122.66,64.00,21051,8.36,7.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,121,120.42,64.00,21173,8.31,7.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,118,120.46,64.00,21290,8.52,7.00,14.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,121,122.29,64.00,21411,8.31,7.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,121,122.02,64.00,21533,8.32,6.00,10.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,117,122.97,64.00,21650,8.56,6.00,14.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,120,123.13,64.00,21769,8.37,7.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,121,122.71,64.00,21891,8.32,7.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,115,119.58,64.00,22006,8.73,7.00,14.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,120,121.17,64.00,22126,8.33,7.00,11.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,120,120.25,64.00,22246,8.34,7.00,10.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,116,120.89,64.00,22362,8.62,7.00,14.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,117,119.03,64.00,22478,8.56,7.00,13.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,120,120.92,64.00,22598,8.33,7.00,10.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,116,114.20,64.00,22714,8.65,7.00,15.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,120,120.65,64.00,22834,8.34,7.00,10.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,121,120.34,64.00,22956,8.33,7.00,10.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,120,116.81,64.00,23075,8.40,7.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,113,120.10,64.00,23189,8.90,7.00,15.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,120,119.48,64.00,23309,8.35,7.00,10.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,110,107.71,64.00,23418,9.12,7.00,15.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,117,119.11,64.00,23535,8.56,7.00,11.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,111,109.91,64.00,23646,9.01,7.00,15.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,113,111.12,64.00,23760,8.93,7.00,13.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,109,106.51,64.00,23868,9.22,7.00,15.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,113,116.01,64.00,23981,8.91,7.00,14.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,112,109.87,64.00,24094,8.97,7.00,13.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,106,113.56,64.00,24200,9.45,8.00,15.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,111,114.31,64.00,24311,9.03,7.00,14.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,106,110.65,64.00,24417,9.44,7.00,15.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,110,111.26,64.00,24527,9.09,8.00,13.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,106,108.58,64.00,24633,9.50,8.00,16.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,109,111.45,64.00,24742,9.20,8.00,13.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,105,109.08,64.00,24847,9.54,8.00,15.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,109,110.83,64.00,24955,9.23,8.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,106,110.00,64.00,25062,9.49,7.00,15.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,109,109.78,64.00,25171,9.23,7.00,12.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,106,103.07,64.00,25277,9.46,8.00,15.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,106,108.10,64.00,25382,9.44,8.00,15.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,105,106.86,64.00,25487,9.52,8.00,16.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,107,110.24,64.00,25595,9.39,8.00,15.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,108,106.49,64.00,25703,9.29,8.00,11.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,102,106.29,64.00,25805,9.84,8.00,16.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,107,108.66,64.00,25912,9.41,8.00,11.00, performanceMetrics.js:106:13
