[Log] ,lang,browser,wasm_exec_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb
[Log] ,Rust,"GnomeWeb",175.00,58,58.58,64.00,53720,17.34,17.00,19.00, 
[Log] ,Rust,"GnomeWeb",175.00,62,61.44,64.00,53721,16.32,16.00,17.00, 
[Log] ,Rust,"GnomeWeb",175.00,58,57.50,64.00,53778,17.26,16.00,19.00, 
[Log] ,Rust,"GnomeWeb",175.00,62,61.73,64.00,53779,16.27,16.00,18.00, 
[Log] ,Rust,"GnomeWeb",175.00,58,57.42,64.00,53836,17.45,16.00,19.00, 
[Log] ,Rust,"GnomeWeb",175.00,62,60.66,64.00,53837,16.37,16.00,17.00, 
[Log] ,Rust,"GnomeWeb",175.00,58,57.50,64.00,53894,17.38,16.00,18.00, 
[Log] ,Rust,"GnomeWeb",175.00,62,61.65,64.00,53895,16.26,16.00,17.00, 
[Log] ,Rust,"GnomeWeb",175.00,58,57.40,64.00,53952,17.34,16.00,19.00, 
[Log] ,Rust,"GnomeWeb",175.00,62,61.61,64.00,53953,16.32,16.00,17.00, 
[Log] ,Rust,"GnomeWeb",175.00,58,57.75,64.00,54010,17.40,16.00,18.00, 
[Log] ,Rust,"GnomeWeb",175.00,62,61.26,64.00,54011,16.27,16.00,17.00, 
[Log] ,Rust,"GnomeWeb",175.00,58,57.71,64.00,54068,17.36,16.00,19.00, 
[Log] ,Rust,"GnomeWeb",175.00,62,61.29,64.00,54069,16.37,16.00,17.00, 
[Log] ,Rust,"GnomeWeb",175.00,55,57.19,64.00,54123,18.40,16.00,57.00, 
[Log] ,Rust,"GnomeWeb",175.00,61,60.56,64.00,54124,16.51,16.00,17.00, 
[Log] ,Rust,"GnomeWeb",175.00,58,57.53,64.00,54181,17.48,16.00,19.00, 
[Log] ,Rust,"GnomeWeb",175.00,62,60.94,64.00,54182,16.31,0.00,20.00, 
[Log] ,Rust,"GnomeWeb",175.00,57,57.79,64.00,54238,17.82,16.00,31.00, 
[Log] ,Rust,"GnomeWeb",175.00,62,60.99,64.00,54239,16.32,0.00,22.00, 
[Log] ,Rust,"GnomeWeb",175.00,57,57.89,64.00,54295,17.68,16.00,32.00, 
[Log] ,Rust,"GnomeWeb",175.00,61,60.94,64.00,54296,16.46,16.00,17.00, 
[Log] ,Rust,"GnomeWeb",175.00,58,57.61,64.00,54353,17.38,16.00,19.00, 
[Log] ,Rust,"GnomeWeb",175.00,61,60.84,64.00,54354,16.41,16.00,18.00, 
[Log] ,Rust,"GnomeWeb",175.00,58,57.78,64.00,54411,17.40,16.00,18.00, 
[Log] ,Rust,"GnomeWeb",175.00,61,60.89,64.00,54412,16.39,16.00,17.00, 
[Log] ,Rust,"GnomeWeb",175.00,58,57.83,64.00,54469,17.43,16.00,18.00, 
[Log] ,Rust,"GnomeWeb",175.00,61,61.12,64.00,54470,16.41,16.00,17.00, 
[Log] ,Rust,"GnomeWeb",175.00,58,58.04,64.00,54527,17.41,16.00,18.00, 
[Log] ,Rust,"GnomeWeb",175.00,61,59.56,64.00,54528,16.49,16.00,17.00, 
[Log] ,Rust,"GnomeWeb",175.00,58,56.64,64.00,54585,17.52,16.00,19.00, 
[Log] ,Rust,"GnomeWeb",175.00,61,61.18,64.00,54586,16.46,16.00,17.00, 
[Log] ,Rust,"GnomeWeb",175.00,57,57.10,64.00,54642,17.77,17.00,19.00, 
[Log] ,Rust,"GnomeWeb",175.00,61,60.99,64.00,54643,16.52,16.00,17.00, 
[Log] ,Rust,"GnomeWeb",175.00,57,57.34,64.00,54699,17.60,16.00,19.00, 
[Log] ,Rust,"GnomeWeb",175.00,61,60.68,64.00,54700,16.46,16.00,18.00, 
[Log] ,Rust,"GnomeWeb",175.00,57,57.15,64.00,54756,17.58,17.00,19.00, 
[Log] ,Rust,"GnomeWeb",175.00,61,58.99,64.00,54757,16.61,16.00,18.00, 
[Log] ,Rust,"GnomeWeb",175.00,57,56.92,64.00,54813,17.67,16.00,19.00, 
[Log] ,Rust,"GnomeWeb",175.00,61,60.38,64.00,54814,16.56,16.00,18.00, 
[Log] ,Rust,"GnomeWeb",175.00,57,55.95,64.00,54870,17.75,16.00,19.00, 
[Log] ,Rust,"GnomeWeb",175.00,61,60.65,64.00,54871,16.57,16.00,18.00, 
[Log] ,Rust,"GnomeWeb",175.00,57,56.58,64.00,54927,17.70,17.00,20.00, 
[Log] ,Rust,"GnomeWeb",175.00,57,55.86,64.00,54928,17.61,16.00,57.00, 
[Log] ,Rust,"GnomeWeb",175.00,61,60.09,64.00,54928,16.57,16.00,18.00, 
[Log] ,Rust,"GnomeWeb",175.00,57,56.15,64.00,54984,17.77,17.00,19.00, 
[Log] ,Rust,"GnomeWeb",175.00,61,60.31,64.00,54985,16.64,16.00,17.00, 
[Log] ,Rust,"GnomeWeb",175.00,57,56.20,64.00,55041,17.79,16.00,19.00, 
[Log] ,Rust,"GnomeWeb",175.00,60,59.49,64.00,55042,16.68,16.00,17.00, 
[Log] ,Rust,"GnomeWeb",175.00,57,56.68,64.00,55098,17.72,16.00,19.00, 
[Log] ,Rust,"GnomeWeb",175.00,60,60.22,64.00,55099,16.77,16.00,18.00, 
[Log] ,Rust,"GnomeWeb",175.00,56,55.35,64.00,55154,17.98,17.00,20.00, 
[Log] ,Rust,"GnomeWeb",175.00,60,60.25,64.00,55155,16.73,16.00,18.00, 
