 ,lang,browser,wasm_start_offset_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb
 ,Rust,"Chromium",15.40,82,181.10,64.00,10,8.77,2.40,223.70,52.52
 ,Rust,"Chromium",15.40,180,186.18,64.00,187,5.56,3.40,8.40,53.30
 ,Rust,"Chromium",15.40,180,183.27,64.00,367,5.56,4.70,6.90,52.70
 ,Rust,"Chromium",15.40,181,184.50,64.00,550,5.56,3.20,7.30,53.06
 ,Rust,"Chromium",15.40,180,180.62,64.00,730,5.56,4.60,6.40,53.38
 ,Rust,"Chromium",15.40,181,180.12,64.00,910,5.55,4.30,7.00,53.67
 ,Rust,"Chromium",15.40,173,179.73,64.00,1082,5.78,3.10,47.70,53.90
 ,Rust,"Chromium",15.40,180,180.40,64.00,1262,5.57,4.90,6.50,52.59
 ,Rust,"Chromium",15.40,181,187.13,64.00,1445,5.55,1.60,6.40,52.82
 ,Rust,"Chromium",15.40,180,181.04,64.00,1625,5.56,2.60,8.20,53.05
 ,Rust,"Chromium",15.40,180,183.49,64.00,1805,5.56,4.10,6.70,52.50
 ,Rust,"Chromium",15.40,180,180.71,64.00,1985,5.56,4.10,6.60,52.72
 ,Rust,"Chromium",15.40,180,180.35,64.00,2165,5.56,4.50,8.20,53.33
 ,Rust,"Chromium",15.40,180,180.17,64.00,2345,5.56,3.40,6.90,52.31
 ,Rust,"Chromium",15.40,180,181.04,64.00,2525,5.56,4.80,6.30,53.46
 ,Rust,"Chromium",15.40,181,180.51,64.00,2705,5.55,2.00,9.50,54.18
 ,Rust,"Chromium",15.40,180,180.77,64.00,2885,5.56,4.20,6.70,53.63
 ,Rust,"Chromium",15.40,179,180.70,64.00,3064,5.59,5.00,10.70,53.85
 ,Rust,"Chromium",15.40,180,180.47,64.00,3244,5.56,4.90,6.50,54.07
 ,Rust,"Chromium",15.40,181,180.86,64.00,3424,5.55,4.70,6.30,54.53
 ,Rust,"Chromium",15.40,180,180.88,64.00,3606,5.56,2.30,8.50,55.40
 ,Rust,"Chromium",15.40,180,180.61,64.00,3786,5.56,4.50,6.30,55.62
 ,Rust,"Chromium",15.40,180,179.91,64.00,3966,5.56,5.00,6.20,55.84
 ,Rust,"Chromium",15.40,181,180.93,64.00,4147,5.55,4.90,6.00,55.94
 ,Rust,"Chromium",15.40,179,174.66,64.00,4325,5.59,4.80,9.90,56.53
 ,Rust,"Chromium",15.40,180,179.95,64.00,4505,5.56,4.90,6.30,56.75
 ,Rust,"Chromium",15.40,181,180.09,64.00,4685,5.55,4.90,6.40,57.34
 ,Rust,"Chromium",15.40,180,181.04,64.00,4865,5.56,2.80,10.40,57.07
 ,Rust,"Chromium",15.40,181,181.94,64.00,5048,5.55,4.50,6.80,57.72
 ,Rust,"Chromium",15.40,180,181.13,64.00,5228,5.56,4.80,6.20,58.82
 ,Rust,"Chromium",15.40,180,181.32,64.00,5407,5.58,3.40,11.30,59.04
 ,Rust,"Chromium",15.40,180,180.80,64.00,5587,5.56,3.90,7.10,58.46
 ,Rust,"Chromium",15.40,180,181.58,64.00,5767,5.56,4.30,6.40,58.68
 ,Rust,"Chromium",15.40,181,181.89,64.00,5947,5.55,4.20,7.20,58.90
 ,Rust,"Chromium",15.40,180,181.95,64.00,6127,5.56,4.30,6.80,59.11
 ,Rust,"Chromium",15.40,180,181.77,64.00,6307,5.56,4.20,6.90,58.53
 ,Rust,"Chromium",15.40,181,181.43,64.00,6490,5.56,4.50,6.60,60.94
 ,Rust,"Chromium",15.40,180,179.42,64.00,6670,5.56,3.70,7.70,61.15
 ,Rust,"Chromium",15.40,181,181.53,64.00,6850,5.56,4.70,6.30,60.57
 ,Rust,"Chromium",15.40,181,181.18,64.00,7030,5.55,4.40,6.70,60.79
 ,Rust,"Chromium",15.40,180,182.25,64.00,7210,5.56,4.30,7.20,63.82
 ,Rust,"Chromium",15.40,180,181.50,64.00,7390,5.56,4.60,6.50,64.04
 ,Rust,"Chromium",15.40,181,182.54,64.00,7573,5.56,3.80,7.50,63.46
 ,Rust,"Chromium",15.40,180,182.44,64.00,7753,5.56,4.10,7.00,63.41
 ,Rust,"Chromium",15.40,180,182.86,64.00,7933,5.56,4.70,6.50,63.62
 ,Rust,"Chromium",15.40,180,182.56,64.00,8113,5.56,4.40,7.00,63.84
 ,Rust,"Chromium",15.40,181,179.58,64.00,8292,5.56,4.50,6.60,66.06
 ,Rust,"Chromium",15.40,181,182.31,64.00,8475,5.56,4.30,7.20,65.48
 ,Rust,"Chromium",15.40,180,182.83,64.00,8655,5.56,4.70,6.40,66.38
 ,Rust,"Chromium",15.40,180,182.76,64.00,8835,5.56,4.50,7.00,66.60
 ,Rust,"Chromium",15.40,181,181.64,64.00,9015,5.55,4.60,6.70,66.81
 ,Rust,"Chromium",15.40,181,182.39,64.00,9195,5.55,4.60,6.80,66.22
 ,Rust,"Chromium",15.40,180,181.86,64.00,9375,5.56,4.80,6.60,66.44
 ,Rust,"Chromium",15.40,180,181.65,64.00,9555,5.56,4.60,7.10,66.66
 ,Rust,"Chromium",15.40,180,181.79,64.00,9735,5.56,4.70,7.00,66.82
 ,Rust,"Chromium",15.40,181,181.90,64.00,9918,5.55,4.80,6.50,67.04
 ,Rust,"Chromium",15.40,180,182.23,64.00,10098,5.56,4.90,8.10,66.83
 ,Rust,"Chromium",15.40,179,180.78,64.00,10277,5.59,4.90,7.40,67.04
 ,Rust,"Chromium",15.40,181,182.00,64.00,10457,5.55,4.90,7.10,67.28
 ,Rust,"Chromium",15.40,180,181.66,64.00,10637,5.56,5.00,6.70,67.49
 ,Rust,"Chromium",15.40,181,181.36,64.00,10817,5.55,5.10,6.50,66.91
 ,Rust,"Chromium",15.40,180,179.72,64.00,10999,5.56,5.10,6.30,67.13
 ,Rust,"Chromium",15.40,179,178.01,64.00,11178,5.60,5.20,6.30,69.73
 ,Rust,"Chromium",15.40,177,175.53,64.00,11354,5.68,5.30,6.70,69.94
 ,Rust,"Chromium",15.40,174,173.08,64.00,11528,5.76,5.40,6.40,69.35
 ,Rust,"Chromium",15.40,171,170.35,64.00,11699,5.85,5.50,7.30,69.56
 ,Rust,"Chromium",15.40,169,168.74,64.00,11867,5.92,5.60,7.10,69.77
 ,Rust,"Chromium",15.40,167,165.84,64.00,12034,5.99,5.60,6.60,69.97
 ,Rust,"Chromium",15.40,165,163.23,64.00,12201,6.10,5.70,8.90,69.18
 ,Rust,"Chromium",15.40,163,160.22,64.00,12364,6.14,5.70,7.30,69.37
 ,Rust,"Chromium",15.40,163,161.80,64.00,12526,6.17,5.80,6.70,69.57
 ,Rust,"Chromium",15.40,159,158.46,64.00,12685,6.29,5.90,6.90,69.76
 ,Rust,"Chromium",15.40,158,156.50,64.00,12842,6.35,6.00,7.10,69.16
 ,Rust,"Chromium",15.40,156,154.09,64.00,13000,6.44,6.00,7.10,69.35
 ,Rust,"Chromium",15.40,155,154.50,64.00,13155,6.46,6.10,7.00,69.55
 ,Rust,"Chromium",15.40,154,153.39,64.00,13309,6.51,6.10,7.10,69.73
 ,Rust,"Chromium",15.40,151,149.87,64.00,13459,6.65,6.20,9.60,69.92
 ,Rust,"Chromium",15.40,150,148.93,64.00,13609,6.69,6.30,7.20,69.30
 ,Rust,"Chromium",15.40,148,146.96,64.00,13758,6.80,6.40,7.30,69.49
 ,Rust,"Chromium",15.40,147,145.18,64.00,13904,6.83,6.40,7.40,69.67
 ,Rust,"Chromium",15.40,145,144.47,64.00,14049,6.92,6.50,7.50,69.84
 ,Rust,"Chromium",15.40,144,142.81,64.00,14194,6.98,6.50,7.60,69.22
 ,Rust,"Chromium",15.40,142,141.63,64.00,14336,7.04,6.60,7.60,69.40
 ,Rust,"Chromium",15.40,138,134.28,64.00,14474,7.25,6.80,10.30,74.71
 ,Rust,"Chromium",15.40,138,137.20,64.00,14612,7.26,6.80,7.80,74.88
 ,Rust,"Chromium",15.40,138,137.02,64.00,14749,7.29,6.80,7.90,75.05
 ,Rust,"Chromium",15.40,136,135.19,64.00,14885,7.36,6.90,7.90,75.21
 ,Rust,"Chromium",15.40,136,134.14,64.00,15022,7.40,6.90,8.00,75.38
 ,Rust,"Chromium",15.40,134,132.37,64.00,15156,7.50,7.00,8.10,74.74
 ,Rust,"Chromium",15.40,133,132.37,64.00,15288,7.55,7.00,8.40,74.90
 ,Rust,"Chromium",15.40,132,131.69,64.00,15420,7.58,7.10,8.10,75.06
 ,Rust,"Chromium",15.40,131,130.63,64.00,15551,7.64,7.20,8.20,75.22
 ,Rust,"Chromium",15.40,130,129.06,64.00,15680,7.72,7.20,8.20,75.38
 ,Rust,"Chromium",15.40,129,128.36,64.00,15811,7.77,7.30,8.30,74.74
 ,Rust,"Chromium",15.40,128,127.20,64.00,15939,7.84,7.30,8.30,74.89
 ,Rust,"Chromium",15.40,127,126.20,64.00,16065,7.90,7.40,8.40,75.05
 ,Rust,"Chromium",15.40,127,126.03,64.00,16193,7.93,7.40,8.50,75.20
 ,Rust,"Chromium",15.40,125,124.41,64.00,16318,8.03,7.50,9.00,75.36
 ,Rust,"Chromium",15.40,122,121.83,64.00,16439,8.26,7.50,12.10,77.33
 ,Rust,"Chromium",15.40,122,122.48,64.00,16561,8.20,7.70,9.30,77.48
 ,Rust,"Chromium",15.40,121,121.65,64.00,16682,8.27,7.70,11.50,77.62
 ,Rust,"Chromium",15.40,121,120.37,64.00,16803,8.28,7.70,9.10,77.77
 ,Rust,"Chromium",15.40,121,119.91,64.00,16925,8.33,7.80,8.90,77.92
 ,Rust,"Chromium",15.40,120,118.90,64.00,17044,8.37,7.80,8.90,78.06
 ,Rust,"Chromium",15.40,119,118.77,64.00,17163,8.43,7.90,8.90,77.41
 ,Rust,"Chromium",15.40,118,117.51,64.00,17281,8.48,7.90,9.10,78.93
 ,Rust,"Chromium",15.40,117,117.06,64.00,17398,8.56,8.00,9.10,79.07
 ,Rust,"Chromium",15.40,116,115.90,64.00,17515,8.68,8.10,14.30,78.73
 ,Rust,"Chromium",15.40,116,115.69,64.00,17630,8.66,8.20,9.20,78.87
 ,Rust,"Chromium",15.40,116,115.57,64.00,17747,8.68,8.10,9.20,79.01
 ,Rust,"Chromium",15.40,115,114.17,64.00,17862,8.71,8.20,9.20,79.16
 ,Rust,"Chromium",15.40,114,113.50,64.00,17976,8.78,8.20,9.30,79.29
 ,Rust,"Chromium",15.40,114,113.23,64.00,18090,8.81,8.30,9.30,79.43
 ,Rust,"Chromium",15.40,113,111.63,64.00,18202,8.90,8.30,9.50,78.77
 ,Rust,"Chromium",15.40,112,112.00,64.00,18315,8.96,8.40,9.40,78.91
 ,Rust,"Chromium",15.40,111,111.38,64.00,18426,9.01,8.40,9.60,79.04
 ,Rust,"Chromium",15.40,110,109.67,64.00,18536,9.10,8.50,9.60,79.18
 ,Rust,"Chromium",15.40,110,109.78,64.00,18646,9.09,8.50,9.60,79.31
 ,Rust,"Chromium",15.40,110,108.71,64.00,18756,9.14,8.50,9.60,79.45
 ,Rust,"Chromium",15.40,109,108.34,64.00,18865,9.26,8.60,9.80,78.78
 ,Rust,"Chromium",15.40,108,107.40,64.00,18973,9.30,8.70,9.80,78.91
 ,Rust,"Chromium",15.40,107,106.88,64.00,19080,9.35,8.70,9.90,79.04
 ,Rust,"Chromium",15.40,107,106.34,64.00,19186,9.37,8.80,9.90,79.18
 ,Rust,"Chromium",15.40,107,106.83,64.00,19294,9.42,8.80,9.90,79.31
 ,Rust,"Chromium",15.40,106,105.72,64.00,19400,9.44,8.80,9.90,79.44
 ,Rust,"Chromium",15.40,106,105.26,64.00,19505,9.51,8.90,10.10,78.77
 ,Rust,"Chromium",15.40,105,105.14,64.00,19610,9.54,8.90,10.10,78.90
 ,Rust,"Chromium",15.40,105,103.83,64.00,19716,9.60,9.00,10.10,79.02
 ,Rust,"Chromium",15.40,104,103.22,64.00,19820,9.66,9.00,10.10,79.15
 ,Rust,"Chromium",15.40,103,102.04,64.00,19922,9.76,9.10,12.20,86.03
 ,Rust,"Chromium",15.40,103,102.30,64.00,20026,9.78,9.10,10.30,85.44
 ,Rust,"Chromium",15.40,101,101.30,64.00,20127,9.90,9.20,17.50,85.57
 ,Rust,"Chromium",15.40,102,101.89,64.00,20228,9.85,9.20,10.40,85.69
 ,Rust,"Chromium",15.40,102,102.16,64.00,20331,9.88,9.20,10.30,85.82
 ,Rust,"Chromium",15.40,102,100.89,64.00,20432,9.89,9.30,10.40,85.94
 ,Rust,"Chromium",15.40,100,100.56,64.00,20532,10.00,9.30,10.50,86.07
 ,Rust,"Chromium",15.40,101,99.74,64.00,20634,9.99,9.30,10.60,86.19
 ,Rust,"Chromium",15.40,100,97.52,64.00,20733,10.08,9.30,11.90,85.52
 ,Rust,"Chromium",15.40,99,97.91,64.00,20833,10.20,9.40,10.70,85.64
 ,Rust,"Chromium",15.40,98,97.50,64.00,20930,10.27,9.50,12.20,85.76
 ,Rust,"Chromium",15.40,99,97.82,64.00,21030,10.16,9.40,10.70,85.88
 ,Rust,"Chromium",15.40,98,97.70,64.00,21127,10.27,9.60,10.80,86.00
